ID,Cv
mp-684,139.7714764633334
mp-9844,189.9057988528205
mp-1519,48.23421236192247
mp-2229,43.16035249195279
mp-22937,164.6564484497399
mp-989629,180.8971087209494
mp-10616,68.99574218344115
mp-22851,45.43804328637765
mp-22905,45.92877596040198
mp-252,41.08024038101211
mp-3159,160.45896617645235
mp-32616,222.34097437636305
mp-4514,199.2774489869776
mp-961685,71.33703449783039
mp-10219,124.20400863566604
mp-22255,195.80350490895484
mp-4636,78.70016786049469
mp-555410,176.14392783658337
mp-567744,293.3230175601338
mp-5986,99.97584793230516
mp-626724,146.0776065244336
mp-66,12.594465717908028
mp-827,145.6430949572859
mp-4531,166.2601236734341
mp-5478,309.16604325146375
mp-567652,239.2065993450425
mp-753287,86.86874055946805
mp-8276,115.64063557186556
mp-961682,70.31141989956694
mp-5048,186.0193835777148
mp-6960,234.740934673818
mp-7938,177.3636661189627
mp-7939,186.08298431954168
mp-315,70.83024629436783
mp-568560,49.54735758801884
mp-7808,177.54453441951236
mp-27985,128.3069043814523
mp-573763,297.43407000841114
mp-999549,45.218878472944326
mp-10155,246.61514858952387
mp-981,68.05775619933091
mp-10336,292.4323487956586
mp-11019,155.19834062062782
mp-29403,145.67704589844718
mp-31002,172.33926905554765
mp-581833,73.67833454334652
mp-28591,165.4288972147987
mp-1190,47.30036558402042
mp-13033,46.97051438687027
mp-697133,122.39000412422654
mp-23222,89.27209167291875
mp-30459,70.71798235560662
mp-568968,193.7454781584944
mp-6059,208.43745537182187
mp-644203,83.14389629589532
mp-8407,129.3241908026494
mp-31212,155.20856990602144
mp-3419,259.6849650127845
mp-5431,207.1253383605852
mp-23197,49.67591479929456
mp-2517,281.3797063390111
mp-27303,262.7353294579434
mp-2961,166.91238940310208
mp-5967,68.2494168889643
mp-753671,84.30094265162417
mp-8257,233.98889788637803
mp-1000,49.224292424882215
mp-38011,61.37597337839012
mp-546011,178.26473455810412
mp-9198,180.40399486436823
mp-974603,136.3973662262878
mp-13868,201.28493780725384
mp-634676,123.56802318820792
mp-975140,186.8788903122853
mp-11265,292.65625109149295
mp-14588,239.1717256026432
mp-16337,169.20329863199092
mp-22583,238.8652254324805
mp-22956,165.43022137703397
mp-755287,170.70234741564
mp-8759,257.5318416654713
mp-9774,161.6566382468604
mp-10955,168.96628831916303
mp-181,288.55805629987964
mp-27839,208.719965104809
mp-7375,100.48318814909906
mp-643264,145.0852909322271
mp-8891,189.7866429371216
mp-983565,169.4206843585049
mp-991652,189.34784217799967
mp-10615,67.66314075821327
mp-23302,49.56963739304148
mp-2646,118.40865246431652
mp-6450,269.4525829779248
mp-7643,195.67016948894792
mp-9731,145.57421943371762
mp-9794,288.9812836300381
mp-2534,46.51349604437079
mp-996943,239.2839417999959
mp-1009220,33.173080647039995
mp-11327,73.93321279713228
mp-22607,167.18624786213564
mp-2472,44.96966064323792
mp-2695,142.40832538955172
mp-552488,182.6527709571444
mp-961713,71.34058467745393
mp-2008,134.60923116740452
mp-23550,266.71463263217123
mp-5588,155.91415043056392
mp-7104,114.55658829345948
mp-830,35.474242708868374
mp-989563,218.0954761850805
mp-12927,161.53535153670575
mp-546864,126.6752272356091
mp-696804,125.22536696122302
mp-8799,143.62886448685555
mp-9437,68.49585402084517
mp-23405,220.6082565391117
mp-267,141.1851661857486
mp-5078,265.4181448952584
mp-1014244,78.13916668676397
mp-10694,84.34380316983035
mp-2576,292.85337056329405
mp-2894,71.3467023389107
mp-546125,218.7782559743831
mp-553875,97.46985198791688
mp-682,45.29205339877475
mp-7908,163.89756489452208
mp-961661,68.42470998226413
mp-22862,47.84398655000585
mp-23870,34.38010664951989
mp-570891,49.15891895709763
mp-15954,275.2074421369374
mp-568273,95.30173490866576
mp-568662,72.49654075718647
mp-2340,254.21800092225263
mp-4190,197.48470094236257
mp-555166,187.07056439164307
mp-5853,175.04838885222512
mp-5955,163.34335714946516
mp-614603,49.63567091579604
mp-752446,77.24166918425452
mp-7849,101.63260687337733
mp-20329,165.28723316679591
mp-8289,166.9830686200308
mp-961684,68.8963574537248
mp-30250,166.27252962846444
mp-406,48.71016089377491
mp-7447,243.6289002117865
mp-997618,37.32499810028913
mp-15953,248.587806041878
mp-8000,162.38755209117485
mp-8459,203.4666654943072
mp-989514,236.05061500058332
mp-6492,205.95116749068103
mp-772290,242.95628412491743
mp-1672,46.001609810389006
mp-27138,169.66798806723466
mp-754212,221.76413936560112
mp-7572,192.2985756331617
mp-28553,182.0801217771912
mp-675011,148.80625722380682
mp-1009813,44.77370057535237
mp-13541,187.8783525024004
mp-1367,67.54706150350216
mp-15157,162.8828501083831
mp-23024,141.56179905944214
mp-3098,141.50845625024985
mp-3666,190.66916942363508
mp-997002,164.33091771275295
mp-10408,96.0841965505199
mp-23859,105.9578521456028
mp-28075,176.0084879417376
mp-672,92.63685017106496
mp-15724,97.188607385528
mp-2133,80.53157076620003
mp-22936,88.59366141394462
mp-2490,43.6276143250996
mp-3642,157.35805567089702
mp-561710,231.36207511147884
mp-567666,238.8658552615017
mp-3589,79.10983677045017
mp-6980,90.19984572304108
mp-8161,257.5719527945298
mp-862871,145.49364175773664
mp-14017,195.88774249744253
mp-20210,220.0821393463518
mp-23018,234.4197590229152
mp-556866,289.1054031571629
mp-8311,161.9147930751891
mp-9571,118.91715512684452
mp-978846,147.12006875080297
mp-3078,182.1090238278119
mp-989639,224.16764795356616
mp-1634,137.03881463443275
mp-27827,212.4880396385408
mp-8409,86.10984589536412
mp-10341,166.7854238335942
mp-2693,48.997490684130526
mp-552934,134.4106028927031
mp-567636,67.59171768875557
mp-569571,473.6964091247247
mp-573204,195.02049679388853
mp-7060,178.1563991272288
mp-961659,66.7888214019313
mp-1020059,204.60480230433984
mp-10418,171.47293005152343
mp-30315,133.8272714230489
mp-468,149.95629663769202
mp-5380,157.9460452047364
mp-7895,89.77075965617585
mp-8884,96.16569235894514
mp-989558,227.78401526167207
mp-2624,45.54342376867726
mp-3982,159.5872537594664
mp-545359,131.9797079355625
mp-553342,142.57975224431823
mp-7140,54.4967643341577
mp-8623,121.77353206150909
mp-997036,165.44390641987508
mp-23056,93.44710124400444
mp-569149,202.5441749463654
mp-7596,213.2851876766295
mp-8861,157.32607555150892
mp-9517,154.77931839567805
mp-19765,170.628418549182
mp-23703,26.88454644027628
mp-27791,246.11196325644272
mp-28302,168.04120392400085
mp-3519,247.48510780898604
mp-27422,175.0160052236596
mp-28145,211.88815931817064
mp-29151,163.3758555359484
mp-5339,146.8381606399574
mp-754596,122.01962328377152
mp-7608,94.88994851998312
mp-24066,155.81294797092804
mp-28627,168.1576478417144
mp-569548,244.4622013936112
mp-752580,231.12048772773448
mp-10250,109.61972634128294
mp-1784,48.66294561150894
mp-20782,187.5347008117793
mp-22261,193.31647693099168
mp-4156,235.4839294806212
mp-4511,110.2206313123292
mp-559695,170.0219636011642
mp-8267,214.26288509042791
mp-1794,33.95252086358232
mp-20790,129.18640442162865
mp-3163,104.54087776836444
mp-3395,198.85425224117995
mp-3448,108.20090830180506
mp-3834,104.56486149082814
mp-539,222.3816229671533
mp-13949,168.87747346033038
mp-9986,268.3164658629243
mp-697144,133.22143844662824
mp-7173,70.76692658841871
mp-924129,70.19461641605686
mp-570213,69.79963681976643
mp-10163,189.696376841814
mp-10322,165.2008635853339
mp-13548,141.54138756112022
mp-23710,72.56048191242884
mp-2691,48.13743827675817
mp-3056,88.01488873992068
mp-3744,153.8393717984541
mp-567913,242.30047787052388
mp-571467,237.597397757136
mp-8752,165.21385562972011
mp-9486,168.4624143198358
mp-9732,215.40307565832185
mp-989643,187.401677615134
mp-10776,253.8056518025336
mp-14092,188.76942631419104
mp-1002164,32.98808111673225
mp-37906,54.61348356620697
mp-7000,135.28931756547604
mp-1087,47.28680447243461
mp-11520,71.27742179122427
mp-27421,174.66098850526458
mp-29585,170.52642862647716
mp-4360,225.8604851083004
mp-6983,262.0939807941301
mp-13983,165.03246679804633
mp-7988,72.42793285479559
mp-8278,114.0932993952932
mp-8402,109.81834227253796
mp-862947,98.96384626742042
mp-1009009,31.704997144790465
mp-1249,122.20094112929591
mp-27294,168.12327516081265
mp-28264,160.23911599350782
mp-998156,110.97024274378194
mp-1479,29.30288698510209
mp-19851,195.34457078905177
mp-20352,241.17285445937364
mp-22304,167.89700148340174
mp-28872,101.80739701635812
mp-7896,90.33215993976218
mp-8180,159.26297112451687
mp-1106,288.5865108764861
mp-11919,157.6795234135047
mp-14037,221.61839435790168
mp-21510,290.1784048941192
mp-33526,189.05158863483743
mp-36582,59.91430595414183
mp-5012,198.65693751635484
mp-989570,226.01437124614324
mp-1778,25.536591679843387
mp-27608,175.45819561312524
mp-568052,241.86926929618284
mp-8579,119.5171121713459
mp-975115,231.01765488483284
mp-1541,39.334265193664216
mp-29342,164.12037891385444
mp-3595,179.85715049486598
mp-552537,132.16938583066667
mp-7569,161.12706838493034
mp-7575,57.29251668279354
mp-2552,147.88817192112538
mp-37091,165.02381467202363
mp-4495,140.81087886227985
mp-5427,178.70909387166026
mp-1039,93.9829195549235
mp-27829,215.107227076131
mp-551873,164.5689824300817
mp-5707,264.1925520556313
mp-5928,150.83843487881109
mp-7631,163.31389237106328
mp-23091,213.96121813507543
mp-676464,170.49106598547533
mp-8426,73.22532381419705
mp-866291,48.893606439845
mp-8724,257.11732118674746
mp-9657,175.28807150032398
mp-10969,69.97328850553275
mp-568536,222.2116170110564
mp-12491,294.2820083369909
mp-5238,178.91343887181625
mp-12016,269.4354669416766
mp-13356,205.72252636849825
mp-552234,220.4029605073502
mp-755586,176.63307629466854
mp-5175,84.20029169545504
mp-550685,202.83196721793985
mp-8299,163.09667081302047
mp-9855,276.5723385602964
mp-14333,211.6864510419621
mp-22975,214.6100163293289
mp-4482,192.8862144101401
mp-4586,181.8246746907184
mp-8818,104.03168759048572
mp-27385,287.49797007616064
mp-676861,104.08242195180118
mp-865185,106.17718156549326
mp-9755,217.38218641461307
mp-989579,232.0791463159143
mp-14983,181.33956708480807
mp-697038,116.59068658864408
mp-8176,89.97946896879749
mp-989547,221.5723846507135
mp-21511,284.7075320181312
mp-31149,114.20199064743512
mp-989625,186.7953313309684
mp-16763,97.45999524549651
mp-29754,124.9192145820136
mp-31468,238.66526803498297
mp-567680,217.30770873023584
mp-568018,146.94769632157127
mp-675230,188.62149174257087
mp-7090,142.92694531393713
mp-7439,187.6610598750808
mp-1253,48.943067813223486
mp-20256,286.54168099467336
mp-20459,101.85184637294552
mp-23127,214.0543944388823
mp-3216,89.18994597842331
mp-555286,204.3655447528486
mp-20187,184.4131947016477
mp-27243,169.7913087500404
mp-549589,182.26047609249449
mp-552806,221.3519775760415
mp-6058,209.5686253259499
mp-754329,200.35584379574323
mp-7909,164.4825774524441
mp-924128,70.68977178317321
mp-9562,126.37026430328456
mp-998433,245.70088142834388
mp-1009087,163.30169718600553
mp-15788,91.72314607120002
mp-23484,238.9001725432105
mp-760400,235.7723587214566
mp-7940,187.3844453820501
mp-7392,194.03887485196367
mp-12442,167.01487683453985
mp-23513,208.6760425671148
mp-239,182.43199560649447
