ID,U
mp-989513,100488.4151342968
mp-27385,93488.20618440535
mp-676861,62187.56797941968
mp-9755,121366.4218927539
mp-989579,74793.33708263638
mp-14983,82017.27405349862
mp-23070,46867.34412786683
mp-697038,134457.796274756
mp-989547,72157.26010355777
mp-10695,16539.36685905355
mp-21511,94329.9507169102
mp-23485,53128.428177686685
mp-31149,40802.670518851664
mp-760375,70066.03561993522
mp-16763,30634.71988306844
mp-31468,110851.44040210004
mp-568018,45720.93681539781
mp-675230,63258.20413581192
mp-1253,15251.63283597472
mp-13190,77945.5948796447
mp-20256,93754.46457464086
mp-23127,87270.64718430897
mp-29678,31064.77812292782
mp-555286,133690.31907442695
mp-27243,53856.80250191257
mp-549589,65528.18596894726
mp-552806,84363.0205648704
mp-6058,80047.51814013506
mp-754329,92162.06865854951
mp-7909,55596.41258107624
mp-924128,23730.357339632446
mp-9562,52708.40108704855
mp-998433,75955.93498355537
mp-1009087,72471.23676802203
mp-15788,32456.874636253804
mp-23484,78163.71720614457
mp-760400,95177.39826518724
mp-7940,63651.67790902672
mp-996983,73455.65862055401
mp-996997,75642.77865404195
mp-12442,71577.02618804066
mp-23513,70734.55966224238
mp-239,65547.06965893108
mp-5621,66532.2569110733
mp-10378,28744.93302925356
mp-11739,30486.081590892914
mp-20832,53853.26234129767
mp-22913,15437.941587336923
mp-553374,93189.60080090494
mp-12385,89617.00749076398
mp-14175,113415.11054717076
mp-16577,106758.62769762712
mp-3288,129910.69521562684
mp-7297,76062.57822722165
mp-754517,68708.55013356877
mp-10086,49822.27837515007
mp-14652,79258.99347162493
mp-35152,116014.77102849164
mp-5878,41212.11179293582
mp-961646,24026.372931442194
mp-989407,100892.7902302114
mp-2741,25357.50027766675
mp-28377,37814.94679684244
mp-3654,39829.10596398111
mp-7446,80047.70519110955
mp-8697,118630.1280194208
mp-22906,15077.92720501081
mp-23949,57399.164035055874
mp-30373,15064.171281678886
mp-961693,23349.74616402178
mp-13946,75879.29923523808
mp-23040,31663.44090870796
mp-2600,15127.796530940395
mp-755293,52620.0356755338
mp-989538,65917.29158667977
mp-9126,87366.38610127289
mp-989536,73194.13112536333
mp-6870,107741.89984781967
mp-989605,73894.19577586578
mp-3839,62287.97235017064
mp-684969,82943.05164353858
mp-15684,61812.54763692105
mp-19717,15123.890251652172
mp-571386,14247.214376358312
mp-6088,66656.03754645844
mp-677335,69486.21329790603
mp-24084,19592.644093235696
mp-3277,72102.6100595544
mp-7921,73574.27506692552
mp-20351,16463.54892590901
mp-632319,18190.718835038264
mp-6984,80002.09780488255
mp-7770,38937.29139662546
mp-8177,24206.01231353477
mp-8873,81197.09076193896
mp-9125,87956.39355904583
mp-13097,46693.94930919243
mp-23036,66341.17163114889
mp-7467,74283.43961701596
mp-8446,62970.19619495968
mp-8881,33644.953810708066
mp-1008223,15701.813236662449
mp-10481,90837.5393239652
mp-989571,77606.92870210747
mp-20015,90259.0537575218
mp-14038,85020.16405664769
mp-16236,45889.475906526684
mp-24007,120258.06901867768
mp-569442,95289.1118434255
mp-5860,42098.825857842414
mp-8622,38539.58013179499
mp-1569,37650.813598814544
mp-8256,72291.83492243211
mp-3614,46153.74045999859
mp-4524,67831.16998567604
mp-602,47440.170401791744
mp-540957,68056.89262360352
mp-961675,25172.865858459947
mp-13900,87996.96696199117
mp-504729,78154.71980039257
mp-6989,93514.5260679666
mp-9812,125652.67262008604
mp-22922,15325.204353857704
mp-556953,86166.00460189545
mp-6920,60164.8715460904
mp-7642,61397.207650416894
mp-9384,47729.75660022507
mp-31451,23740.321062215444
mp-3772,55089.2922481404
mp-551203,79494.43140645203
mp-684580,15199.134464436713
mp-865427,76221.90588091552
mp-998599,76775.02393087403
mp-13133,110030.02648590229
mp-22865,15181.352617327027
mp-961698,25400.47232623529
mp-1009084,68598.04550716218
mp-10182,25674.916355338213
mp-13099,18282.4704877239
mp-13275,70907.16242070422
mp-13445,76969.18024670718
mp-4497,126118.10287038404
mp-505634,75639.69056331944
mp-6867,78238.99193069935
mp-9259,122923.65261934782
mp-989583,76893.12180419131
mp-21166,91884.45619599594
mp-22909,48089.389163895976
mp-6408,66292.7732706528
mp-9205,91350.85760334112
mp-1020019,137419.99029713785
mp-12908,31138.553249835542
mp-13926,79493.49458614933
mp-15794,31389.29098469307
mp-23432,47327.08520187749
mp-7077,47484.458993541295
mp-13276,50058.17862825137
mp-13610,68337.46304925869
mp-29506,67579.4161785557
mp-7128,91973.77110915088
mp-7219,93489.77994075384
mp-14091,64524.27163775281
mp-22450,106388.27823391084
mp-7547,46018.94091550267
mp-7955,67637.23878301706
mp-1639,32037.584073189973
mp-1960,30574.224147872275
mp-540703,91299.86190845253
mp-8615,141004.98107303795
mp-1018096,31462.025668196657
mp-28626,101836.126912181
mp-29149,56359.28054660012
mp-29209,38759.56421303823
mp-3074,100625.80774635136
mp-5342,65586.52246080193
mp-7566,134325.69593719635
mp-8405,49292.65276949118
mp-31235,68606.54080541109
mp-753098,35533.15608723926
mp-976280,32764.510920122284
mp-23260,90695.24714610884
mp-23862,58409.04129921353
mp-28270,96263.6184102262
mp-28599,56064.3010574208
mp-4175,66505.08744735176
mp-4533,123363.66219865922
mp-6270,93094.38954883494
mp-861979,87508.31451933675
mp-24423,61974.47954767798
mp-30251,71659.13251847301
mp-5795,46373.972021051326
mp-626785,93867.369419496
mp-6949,69369.50656584781
mp-9273,61041.96670102643
mp-1009750,19441.465436467934
mp-21276,15456.261429086748
mp-28237,62809.017785389806
mp-35777,54226.66091602239
mp-545500,85645.84971757847
mp-768368,54171.12078624867
mp-7931,95805.16088422292
mp-1009540,19963.58616260881
mp-1070,30999.108989383192
mp-27419,70064.71539715627
mp-28020,99449.32271070725
mp-8200,101878.5920872055
mp-8922,87516.17407863066
mp-2251,39771.60964389543
mp-22901,15115.134351975648
mp-22919,15093.195037776057
mp-30847,23840.00106756996
mp-675104,78276.10688620043
mp-9274,60788.23865240218
mp-15951,98341.67522670918
mp-11715,120627.5531491548
mp-23251,15217.795355391963
mp-27227,103497.6202791355
mp-6560,99692.1521638258
mp-7863,58799.48077140551
mp-971,23735.23693362371
mp-1330,21775.69994564994
mp-998552,44728.906932513055
mp-8753,54405.62795667994
mp-12894,44159.13937725684
mp-27831,70644.57051487852
mp-553961,116933.3190487448
mp-7618,68322.09504744333
mp-1591,75331.13166102023
mp-861937,30304.695937150453
mp-961706,25086.745909297813
mp-2319,53565.62603957455
mp-28994,66880.65565996306
mp-4342,45810.38216306291
mp-4979,68814.53297122272
mp-568619,122802.2476077688
mp-9008,45618.53259267102
mp-15557,74671.09198196497
mp-22935,46315.22832226964
mp-23017,86368.4490663121
mp-549697,88753.07970172881
mp-5594,120831.1433015087
mp-8335,60855.23863516133
mp-6798,91500.14915103884
mp-9583,57089.93763782743
mp-29091,74832.28121649282
mp-6494,130645.32028928064
mp-989642,130687.11119123854
mp-10246,80765.29885616589
mp-3054,149201.23570277222
mp-5077,32732.130776403534
mp-1009733,23834.81723108133
mp-30460,23325.570586109025
mp-1008559,46778.3910677106
mp-12885,119708.7465974421
mp-7928,40031.95249857087
mp-9872,57815.92850615691
mp-12427,92610.57017992417
mp-4187,108474.87054786771
mp-8145,35173.30130238694
mp-27456,91204.11281259212
mp-561586,31242.518108481323
mp-648,23775.69648535334
mp-9573,52774.57448787259
mp-9687,62413.98522937743
mp-989539,123657.60885600086
mp-23818,61277.54242421914
mp-6660,129323.04777450206
mp-754118,91585.46576878068
mp-1342,15876.1281207003
mp-20072,35615.0464694767
mp-9846,46054.4912862043
mp-23167,15157.898420763036
mp-7469,105873.43023424625
